employee_id,target_year,annual_target
1,2026,15200
2,2026,11200
3,2026,11200
4,2026,6000
5,2026,15200
6,2026,15200
7,2026,15200
8,2026,4000
9,2026,15200
10,2026,15200
11,2026,11200
12,2026,15200
13,2026,11200
14,2026,15200
15,2026,2300
16,2026,2800
17,2026,11200
18,2026,24500
19,2026,11200
20,2026,6000
21,2026,15200
22,2026,11200
23,2026,15200
24,2026,2300
25,2026,6000
26,2026,2300
27,2026,15200
28,2026,15200
29,2026,6000
30,2026,24500
31,2026,6000
32,2026,12500
33,2026,12500
34,2026,15200
35,2026,15200
36,2026,15200
37,2026,2300
38,2026,11200
39,2026,6000
40,2026,15200
41,2026,15200
42,2026,15200
43,2026,11200
44,2026,20000
45,2026,12500
46,2026,15200
47,2026,15200
48,2026,2300
49,2026,24500
50,2026,15200
51,2026,4000
52,2026,11200
53,2026,6000
54,2026,15200
55,2026,2800
56,2026,2300
57,2026,6000
58,2026,11200
59,2026,2300
60,2026,15200
61,2026,15200
62,2026,2800
63,2026,15200
64,2026,15200
65,2026,2300
66,2026,1400
67,2026,6000
68,2026,12500
69,2026,2300
70,2026,12500
71,2026,4500
72,2026,6000
73,2026,2300
74,2026,2800
75,2026,6000
76,2026,15200
77,2026,4000
78,2026,6000
79,2026,2800
80,2026,15200
81,2026,2800
82,2026,6000
83,2026,11200
84,2026,6000
85,2026,2800
86,2026,9000
87,2026,15200
88,2026,2300
89,2026,6000
90,2026,11200
91,2026,11200
92,2026,16000
93,2026,6000
94,2026,2800
95,2026,2800
96,2026,15200
97,2026,6000
98,2026,11200
99,2026,11200
100,2026,2300
101,2026,6000
102,2026,2800
103,2026,2800
104,2026,1400
105,2026,11200
106,2026,6000
107,2026,2800
108,2026,2300
109,2026,15200
110,2026,15200
111,2026,11200
112,2026,2800
113,2026,2800
114,2026,2800
115,2026,11000
116,2026,2800
117,2026,1400
118,2026,2800
119,2026,9000
120,2026,5000
121,2026,6000
122,2026,1500
123,2026,1400
124,2026,4000
125,2026,2300
126,2026,1400
127,2026,1400
128,2026,1400
129,2026,1400
130,2026,4000
131,2026,2800
132,2026,2800
133,2026,3000
134,2026,2000
135,2026,11200
136,2026,6000
137,2026,4000
138,2026,1400
139,2026,1400
140,2026,1400
141,2026,11200
142,2026,1500
143,2026,1400
144,2026,1400
145,2026,1400
146,2026,5000
147,2026,4000
148,2026,2300
149,2026,1400
150,2026,2800
151,2026,1400
152,2026,2300
153,2026,1400
154,2026,2300
